batch_sizes,eval_results,n_iterations,n_steps,time (s)
10,"{'loss': 0.7788988, 'recall': 0.0, 'global_step': 8393}",10,1000,80.40860443300335
10,"{'loss': 0.78663874, 'recall': 0.0, 'global_step': 13393}",10,5000,338.0693914970034
10,"{'loss': 0.86266303, 'recall': 0.0, 'global_step': 23393}",10,10000,617.4140415420115
10,"{'loss': 0.7704417, 'recall': 0.0, 'global_step': 24393}",20,1000,62.64325211200048
10,"{'loss': 0.86852, 'recall': 0.0, 'global_step': 29393}",20,5000,298.6308965229837
10,"{'loss': 0.9059874, 'recall': 0.0, 'global_step': 39393}",20,10000,596.5641300770221
10,"{'loss': 0.8104092, 'recall': 0.0, 'global_step': 40393}",50,1000,61.21088442101609
10,"{'loss': 0.86881286, 'recall': 0.0, 'global_step': 45393}",50,5000,305.0162251179863
10,"{'loss': 0.8226049, 'recall': 0.0, 'global_step': 55393}",50,10000,604.8321126980009
20,"{'loss': 0.8002623, 'recall': 0.0, 'global_step': 56393}",10,1000,101.58339943399187
20,"{'loss': 0.8020871, 'recall': 0.0, 'global_step': 61393}",10,5000,495.85497268498875
20,"{'loss': 0.73375404, 'recall': 0.0, 'global_step': 71393}",10,10000,991.0865615039947
20,"{'loss': 0.73943835, 'recall': 0.0, 'global_step': 72393}",20,1000,100.66420911398018
20,"{'loss': 0.6654467, 'recall': 0.0, 'global_step': 77393}",20,5000,500.69282621500315
20,"{'loss': 0.6992059, 'recall': 0.0, 'global_step': 87393}",20,10000,989.7569925569987
20,"{'loss': 0.74166334, 'recall': 0.0, 'global_step': 88393}",50,1000,100.79153658801806
20,"{'loss': 0.71899503, 'recall': 0.0, 'global_step': 93393}",50,5000,492.4737164590042
20,"{'loss': 0.6406611, 'recall': 0.0, 'global_step': 103393}",50,10000,978.5514772660099
50,"{'loss': 0.70108795, 'recall': 0.0, 'global_step': 104393}",10,1000,228.22449980597594
50,"{'loss': 0.65744734, 'recall': 0.0, 'global_step': 109393}",10,5000,1126.3403457139793
50,"{'loss': 0.71629125, 'recall': 0.0, 'global_step': 119393}",10,10000,2285.62250541299
50,"{'loss': 0.6069013, 'recall': 0.0, 'global_step': 120393}",20,1000,226.80385535297683
50,"{'loss': 0.6965721, 'recall': 0.0, 'global_step': 125393}",20,5000,1123.42222407402
50,"{'loss': 0.6733632, 'recall': 0.0, 'global_step': 135393}",20,10000,2264.5189706179663
50,"{'loss': 0.74395657, 'recall': 0.0, 'global_step': 136393}",50,1000,226.60926347097848
50,"{'loss': 0.64170885, 'recall': 0.0, 'global_step': 141393}",50,5000,1116.5258605729905
50,"{'loss': 0.6411131, 'recall': 0.0, 'global_step': 151393}",50,10000,2254.437776011997
