batch_sizes,n_iterations,n_steps,time (s),global_step,loss,recall,label
10,10,1000,83.77265661300044,1000.0,1.1021474599838257,0.31707316637039185,10.0_10.0_1000.0
10,10,5000,366.95861393700034,6000.0,1.0950431823730469,0.6951219439506531,10.0_10.0_5000.0
10,10,10000,642.0234240119989,16000.0,1.0795212984085083,0.7682926654815674,10.0_10.0_10000.0
10,20,1000,62.492596054002206,17000.0,1.072479248046875,0.8170731663703918,10.0_20.0_1000.0
10,20,5000,305.65627253500134,22000.0,1.0525615215301514,0.7560975551605225,10.0_20.0_5000.0
10,20,10000,605.467556525,32000.0,0.9900022149085999,0.8170731663703918,10.0_20.0_10000.0
10,50,1000,62.72574688399982,33000.0,1.038270115852356,0.8170731663703918,10.0_50.0_1000.0
10,50,5000,302.23254936800004,38000.0,0.9889833331108093,0.7682926654815674,10.0_50.0_5000.0
10,50,10000,615.7956689380007,48000.0,0.9788130521774292,0.8292682766914368,10.0_50.0_10000.0
20,10,1000,131.05333538000195,49000.0,0.9575256705284119,0.8658536672592163,20.0_10.0_1000.0
20,10,5000,570.5334428570022,54000.0,0.876873791217804,0.9024389982223511,20.0_10.0_5000.0
20,10,10000,1089.3572881730033,64000.0,0.8425062298774719,0.9024389982223511,20.0_10.0_10000.0
20,20,1000,163.89105943100003,65000.0,0.8341619968414307,0.8902438879013062,20.0_20.0_1000.0
20,20,5000,754.6749387950003,70000.0,0.8800450563430786,0.8536585569381714,20.0_20.0_5000.0
20,20,10000,1428.9971299049976,80000.0,0.8131917119026184,0.8780487775802612,20.0_20.0_10000.0
20,50,1000,155.7146548290002,81000.0,0.8506366610527039,0.7317073345184326,20.0_50.0_1000.0
20,50,5000,699.2900511980006,86000.0,0.797354519367218,0.9268292784690857,20.0_50.0_5000.0
20,50,10000,1394.6819863300007,96000.0,0.7734089493751526,0.8292682766914368,20.0_50.0_10000.0
50,10,1000,295.49075317299867,97000.0,0.9634153842926025,0.8170731663703918,50.0_10.0_1000.0
50,10,5000,1524.7266694319987,102000.0,0.8899502158164978,0.7317073345184326,50.0_10.0_5000.0
50,10,10000,3138.6532882110005,112000.0,0.7291713356971741,0.8292682766914368,50.0_10.0_10000.0
50,20,1000,279.7686431389993,113000.0,0.7277637124061584,0.8292682766914368,50.0_20.0_1000.0
50,20,5000,1453.618696767,118000.0,0.685814619064331,0.8658536672592163,50.0_20.0_5000.0
50,20,10000,2196.3019094900046,128000.0,0.6718403100967407,0.8536585569381714,50.0_20.0_10000.0
50,50,1000,223.05450215499877,129000.0,0.7210533618927002,0.8048780560493469,50.0_50.0_1000.0
50,50,5000,1098.8376591990018,134000.0,0.6646205186843872,0.8902438879013062,50.0_50.0_5000.0
50,50,10000,2189.8831067889987,144000.0,0.6262356042861938,0.8658536672592163,50.0_50.0_10000.0
