rmse_resid,rmse_total,training_time,w_size,rnn_type
0.0025704028711221417,51.58786054761666,164.27307978699992,4,elu
0.009702835614836683,185.51466975359173,241.99930064900013,5,elu
0.022969540385505048,557.5533404093758,320.05590055699986,8,elu
0.01391188193490459,230.7884921010592,479.569134738,12,elu
0.029789202604878346,502.00816881426005,770.2247965269999,17,elu
0.051443918057202755,192.80377218433193,1408.4069389490005,32,elu
0.007262663401956072,239.1542850918384,438.24543343700043,4,lstm
0.01885758023492175,283.01931516970933,845.7357180489998,5,lstm
0.00716723634492195,163.46067402980995,1653.3502089009999,8,lstm
0.0032805389521918357,65.60628363843807,2501.6829982129993,12,lstm
0.007230502716084526,113.29877742040367,3166.4166560269987,17,lstm
0.020725741523989233,426.3494231254762,6264.307496015001,32,lstm
0.008950666063195145,173.23269432419465,430.23995025699696,4,gru
0.004732314495052139,149.72671579618228,552.9636329630011,5,gru
0.012919598091346839,299.6461202863517,1038.619580696999,8,gru
0.0036540857651354303,179.02727035750152,1950.652559778002,12,gru
0.005182355354610563,46.705933342943396,2512.514560675001,17,gru
0.0023738039307744456,45.45252483679314,5590.561505202,32,gru
